accession	description	tax_id
AY095936	Drosophila limbata isolate lim2 alcohol dehydrogenase (Adh) gene, partial cds.	42028
AY095937	Drosophila transversa isolate tra3 alcohol dehydrogenase (Adh) gene, partial cds.	193351
AY095945	Drosophila curvispina isolate cur2 alcohol dehydrogenase (Adh) gene, partial cds.	126591
AY156524	Drosophila navojoa alcohol dehydrogenase 1 (adh-1) gene, complete cds.	7232
MK017208	UNVERIFIED: Drosophila magnaquinaria adh-related-like (Adhr) gene, partial sequence.	383693
MK017220	UNVERIFIED: Drosophila tenebrosa adh-related-like (Adhr) gene, partial sequence.	614641
AY095948	Drosophila unispina isolate uni2 alcohol dehydrogenase (Adh) gene, partial cds.	193352
MK017204	UNVERIFIED: Drosophila falleni adh-related-like (Adhr) gene, partial sequence.	7279
MK017216	UNVERIFIED: Drosophila suboccidentalis adh-related-like (Adhr) gene, partial sequence.	198723
AF136684	Drosophila americana americana G96.38Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136689	Drosophila americana americana G96.13Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136703	Drosophila americana texana LP97.12 alcohol dehydrogenase (Adh) gene, partial cds.	40372
LC057788	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: X108.	7291
LC057800	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: MYS12.	42062
AF136671	Drosophila americana americana G96.11X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136693	Drosophila americana americana G96.45Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136697	Drosophila americana americana G96.12Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
LC057778	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: K39.	7291
LC057790	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: ADM3.	42062
LC057792	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: C3.	42062
LC057794	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: CJB15.	42062
U76475	Drosophila hydei strain 7 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224
AF136660	Drosophila americana americana G96.12X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136666	Drosophila americana americana G96.24X alcohol dehydrogenase (Adh) gene, partial cds.	95109
EF560574	Drosophila gasici pop-variant Arica alcohol dehydrogenase (adh) gene, partial cds.	306028
LC057791	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: BZV1.	42062
U76471	Drosophila hydei strain 3 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224
U76469	Drosophila hydei strain 1 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224
AF136701	Drosophila americana texana LP97.05 alcohol dehydrogenase (Adh) gene, partial cds.	40372
EF560575	Drosophila gasici pop-variant Cochabamba alcohol dehydrogenase (adh) gene, partial cds.	306028
AF136664	Drosophila americana americana G96.23X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AY695390	Drosophila dunni strain Puerto Rico alcohol dehydrogenase (Adh) mRNA, partial cds.	133979
LC057793	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: C72.	42062
AY340286	Drosophila americana pop-variant NN97.08X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340290	Drosophila americana pop-variant N00.05X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340300	Drosophila americana pop-variant NN97.02Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
AB932672	Drosophila ruberrima Adh gene for alcohol dehydrogenase, partial cds, strain: E-14601.	98362
AY340279	Drosophila americana pop-variant DN00.02X alcohol dehydrogenase (Adh) gene, partial cds.	40366
U76481	Drosophila mulleri strain -1371.18 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7231
AF136650	Drosophila americana americana D.am-.0X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136653	Drosophila americana americana D.am-.9X alcohol dehydrogenase (Adh) gene, partial cds.	95109
